wavelength,counts
736.24261,3130
736.53113,3096
736.81964,3069
737.10815,3084
737.39667,3104
737.68518,3079
737.97369,3112
738.26215,3076
738.55066,3114
738.83917,3090
739.12769,3114
739.4162,3083
739.70465,3075
739.99316,3094
740.28168,3086
740.57019,3093
740.85864,3086
741.14716,3080
741.43567,3086
741.72412,3113
742.01263,3078
742.30109,3098
742.5896,3087
742.87805,3104
743.16656,3108
743.45502,3107
743.74353,3096
744.03198,3079
744.3205,3088
744.60895,3100
744.8974,3081
745.18591,3105
745.47437,3090
745.76282,3094
746.05133,3093
746.33978,3112
746.62823,3092
746.91669,3084
747.20514,3122
747.49365,3110
747.7821,3109
748.07056,3092
748.35901,3085
748.64746,3117
748.93591,3065
749.22437,3088
749.51282,3093
749.80127,3108
750.08972,3119
750.37817,3090
750.66663,3122
750.95508,3097
751.24347,3096
751.53192,3096
751.82037,3106
752.10883,3069
752.39728,3084
752.68567,3084
752.97412,3105
753.26257,3082
753.55096,3084
753.83942,3105
754.12787,3098
754.41626,3107
754.70471,3093
754.9931,3074
755.28156,3120
755.56995,3104
755.8584,3091
756.14679,3085
756.43524,3109
756.72363,3113
757.01202,3077
757.30048,3115
757.58887,3105
757.87726,3102
758.16571,3100
758.4541,3150
758.74249,3114
759.03088,3122
759.31934,3129
759.60773,3094
759.89612,3116
760.18451,3108
760.4729,3126
760.76129,3135
761.04968,3113
761.33807,3123
761.62646,3117
761.91486,3126
762.20325,3129
762.49164,3109
762.78003,3119
763.06842,3097
763.35675,3110
763.64514,3115
763.93353,3130
764.22192,3114
764.51031,3110
764.79865,3098
765.08704,3123
765.37543,3117
765.66376,3146
765.95215,3125
766.24048,3135
766.52887,3120
766.81726,3126
767.10559,3121
767.39398,3126
767.68231,3126
767.97064,3123
768.25903,3114
768.54736,3149
768.83575,3099
769.12408,3135
769.41241,3106
769.70081,3132
769.98914,3143
770.27747,3132
770.5658,3108
770.85413,3121
771.14252,3130
771.43085,3109
771.71918,3141
772.00751,3124
772.29584,3134
772.58417,3127
772.8725,3123
773.16083,3139
773.44916,3122
773.73749,3157
774.02582,3107
774.31415,3140
774.60248,3128
774.89075,3144
775.17908,3122
775.46741,3155
775.75574,3129
776.04401,3150
776.33234,3143
776.62067,3183
776.90894,3149
777.19727,3149
777.4856,3174
777.77386,3141
778.06219,3176
778.35046,3187
778.63879,3196
778.92706,3213
779.21539,3184
779.50366,3204
779.79193,3194
780.08026,3176
780.36853,3207
780.6568,3238
780.94513,3211
781.2334,3241
781.52167,3250
781.80994,3240
782.09827,3244
782.38654,3226
782.6748,3246
782.96307,3269
783.25134,3267
783.53961,3263
783.82788,3244
784.11615,3275
784.40442,3313
784.69269,3269
784.98096,3299
785.26923,3313
785.5575,3278
785.8457,3284
786.13397,3263
786.42224,3300
786.71051,3293
786.99872,3253
787.28699,3293
787.57526,3288
787.86346,3290
788.15173,3304
788.44,3281
788.72821,3304
789.01648,3286
789.30469,3295
789.59296,3307
789.88116,3310
790.16937,3299
790.45764,3308
790.74585,3289
791.03412,3313
791.32233,3309
791.61053,3308
791.89874,3316
792.18701,3309
792.47522,3362
792.76343,3301
793.05164,3287
793.33984,3298
793.62805,3292
793.91626,3313
794.20447,3278
794.49268,3329
794.78088,3332
795.06909,3346
795.3573,3352
795.64551,3340
795.93372,3347
796.22192,3352
796.51013,3374
796.79828,3345
797.08649,3397
797.37469,3356
797.66284,3375
797.95105,3369
798.23926,3373
798.5274,3417
798.81561,3422
799.10382,3433
799.39197,3446
799.68018,3421
799.96832,3458
800.25647,3425
800.54468,3466
800.83282,3500
801.12103,3472
801.40918,3477
801.69733,3499
801.98547,3540
802.27368,3511
802.56183,3538
802.84998,3537
803.13812,3562
803.42627,3576
803.71442,3582
804.00256,3578
804.29077,3607
804.57892,3602
804.867,3643
805.15515,3609
805.4433,3620
805.73145,3654
806.01959,3641
806.30774,3668
806.59589,3656
806.88403,3686
807.17212,3675
807.46027,3705
807.74841,3688
808.0365,3746
808.32465,3731
808.61279,3739
808.90088,3717
809.18903,3726
809.47711,3727
809.76526,3692
810.05334,3770
810.34143,3734
810.62958,3778
810.91766,3736
811.20581,3738
811.4939,3739
811.78198,3745
812.07007,3720
812.35822,3747
812.6463,3744
812.93439,3782
813.22247,3736
813.51056,3751
813.79865,3759
814.08673,3764
814.37482,3770
814.6629,3800
814.95099,3811
815.23907,3783
815.52716,3781
815.81525,3823
816.10333,3796
816.39136,3808
816.67944,3791
816.96753,3807
817.25562,3808
817.54364,3822
817.83173,3838
818.11981,3805
818.40784,3865
818.69592,3839
818.98395,3877
819.27203,3881
819.56006,3879
819.84814,3880
820.13617,3902
820.42419,3904
820.71228,3899
821.00031,3920
821.28833,3970
821.57642,3952
821.86444,3956
822.15247,3999
822.44049,4030
822.72852,4066
823.01654,4039
823.30457,4066
823.59259,4045
823.88062,4054
824.16864,4094
824.45667,4171
824.74469,4131
825.03271,4152
825.32074,4190
825.60876,4223
825.89679,4213
826.18475,4285
826.47278,4272
826.7608,4312
827.04877,4284
827.33679,4320
827.62482,4337
827.91278,4350
828.20081,4374
828.48877,4427
828.77679,4434
829.06476,4421
829.35278,4431
829.64075,4454
829.92871,4486
830.21674,4497
830.5047,4502
830.79266,4524
831.08063,4552
831.36859,4583
831.65662,4534
831.94458,4645
832.23254,4664
832.52051,4635
832.80847,4625
833.09644,4681
833.3844,4688
833.67236,4733
833.96033,4730
834.24829,4727
834.53619,4756
834.82416,4730
835.11212,4774
835.40009,4816
835.68799,4782
835.97595,4777
836.26392,4766
836.55182,4785
836.83978,4862
837.12775,4836
837.41565,4771
837.70361,4773
837.99152,4798
838.27942,4798
838.56738,4818
838.85529,4838
839.14319,4740
839.43115,4851
839.71906,4810
840.00696,4794
840.29486,4803
840.58282,4807
840.87073,4852
841.15863,4837
841.44653,4793
841.73444,4856
842.02234,4790
842.31024,4814
842.59814,4810
842.88605,4838
843.17395,4837
843.46179,4824
843.74969,4839
844.0376,4885
844.3255,4868
844.61334,4839
844.90125,4878
845.18915,4876
845.47699,4872
845.76489,4850
846.05273,4895
846.34064,4918
846.62848,4914
846.91638,4904
847.20422,4997
847.49207,4970
847.77997,4960
848.06781,4969
848.35565,4963
848.64355,5096
848.9314,5059
849.21924,5085
849.50708,5110
849.79492,5135
850.08276,5174
850.37061,5197
850.65845,5182
850.94629,5258
851.23413,5206
851.52197,5345
851.80981,5358
852.09766,5374
852.3855,5354
852.67328,5382
852.96112,5447
853.24896,5476
853.53674,5463
853.82458,5508
854.11243,5562
854.40021,5615
854.68805,5664
854.97583,5698
855.26367,5757
855.55145,5711
855.83923,5777
856.12708,5832
856.41486,5959
856.70264,5925
856.99048,5989
857.27826,6008
857.56604,6129
857.85382,6102
858.1416,6211
858.42938,6208
858.71716,6154
859.00494,6285
859.29272,6312
859.58051,6416
859.86829,6341
860.15607,6444
860.44385,6507
860.73163,6554
861.01941,6552
861.30713,6627
861.59491,6646
861.88269,6692
862.17041,6746
862.45819,6816
862.74591,6844
863.03369,6789
863.32141,6899
863.60919,6967
863.89691,7024
864.18469,6947
864.47241,7029
864.76013,6970
865.04791,7079
865.33563,7015
865.62335,7086
865.91107,7126
866.19879,7110
866.48651,7155
866.77429,7177
867.06201,7152
867.34973,7167
867.63745,7249
867.92511,7317
868.21283,7259
868.50055,7211
868.78827,7268
869.07599,7297
869.36371,7296
869.65137,7369
869.93909,7343
870.22681,7302
870.51447,7348
870.80219,7385
871.08984,7328
871.37756,7325
871.66522,7359
871.95294,7419
872.2406,7465
872.52826,7367
872.81598,7435
873.10364,7395
873.3913,7423
873.67896,7422
873.96667,7419
874.25433,7493
874.54199,7438
874.82965,7467
875.11731,7411
875.40497,7476
875.69263,7402
875.98029,7462
876.26794,7526
876.5556,7454
876.8432,7393
877.13086,7538
877.41852,7508
877.70618,7475
877.99377,7564
878.28143,7550
878.56903,7516
878.85669,7560
879.14435,7605
879.43195,7649
879.71954,7633
880.0072,7653
880.2948,7750
880.58246,7664
880.87006,7701
881.15765,7777
881.44525,7828
881.73291,7731
882.02051,7793
882.30811,7977
882.5957,7968
882.8833,8047
883.1709,8045
883.4585,8058
883.74609,8192
884.03369,8195
884.32129,8261
884.60883,8395
884.89642,8447
885.18402,8469
885.47162,8505
885.75916,8529
886.04675,8584
886.33435,8684
886.62189,8768
886.90948,8881
887.19702,8901
887.48462,8982
887.77216,8896
888.05969,9026
888.34729,9024
888.63483,9234
888.92236,9292
889.2099,9340
889.4975,9408
889.78503,9535
890.07257,9689
890.36011,9796
890.64764,9689
890.93518,9770
891.22272,9801
891.51025,10046
891.79779,9986
892.08533,10162
892.3728,10205
892.66034,10230
892.94788,10454
893.23535,10417
893.52289,10524
893.81042,10519
894.0979,10592
894.38544,10765
894.67291,10769
894.96045,10868
895.24792,10898
895.53546,11031
895.82294,11062
896.11041,11152
896.39795,11241
896.68542,11306
896.9729,11418
897.26038,11521
897.54785,11723
897.83533,11807
898.1228,11814
898.41028,11886
898.69775,11990
898.98523,12183
899.27271,12238
899.56018,12342
899.84766,12319
900.13513,12521
900.42255,12595
900.71002,12701
900.9975,12873
901.28491,12955
901.57239,13001
901.8598,13196
902.14728,13232
902.43469,13359
902.72217,13442
903.00958,13590
903.297,13725
903.58447,13794
903.87189,13642
904.1593,13916
904.44672,14039
904.73419,14001
905.02161,14080
905.30902,14174
905.59644,14270
905.88385,14500
906.17126,14432
906.45868,14600
906.74603,14574
907.03345,14804
907.32086,14894
907.60828,14899
907.89569,15027
908.18304,15152
908.47046,15079
908.75781,15169
909.04523,15204
909.33258,15279
909.62,15324
909.90735,15412
910.19476,15496
910.48212,15437
910.76947,15691
911.05688,15741
911.34424,15822
911.63159,15834
911.91895,15883
912.2063,15972
912.49365,16094
912.78107,16028
913.06842,16222
913.35571,16167
913.64307,16231
913.93042,16205
914.21777,16286
914.50513,16476
914.79248,16516
915.07977,16411
915.36713,16516
915.65448,16640
915.94177,16644
916.22913,16689
916.51642,16669
916.80377,16950
917.09106,16904
917.37842,16894
917.66571,16979
917.953,16946
918.2403,17040
918.52765,17025
918.81494,17148
919.10223,17155
919.38953,17217
919.67682,17156
919.96411,17463
920.2514,17289
920.5387,17456
920.82599,17476
921.11328,17545
921.40057,17483
921.68787,17452
921.9751,17662
922.26239,17789
922.54968,17890
922.83691,17940
923.12421,17844
923.41144,18105
923.69873,18205
923.98596,18165
924.27325,18192
924.56049,18462
924.84772,18522
925.13501,18541
925.42224,18640
925.70947,18726
925.9967,18845
926.28394,18925
926.57117,19085
926.8584,19181
927.14563,19335
927.43286,19543
927.72009,19583
928.00732,19737
928.29456,19827
928.58179,19968
928.86902,20191
929.15619,20199
929.44342,20322
929.73059,20456
930.01782,20857
930.30505,20723
930.59222,21045
930.87946,21074
931.16663,21269
931.4538,21483
931.74103,21602
932.0282,21786
932.31537,21996
932.60254,22095
932.88977,22204
933.17694,22225
933.46411,22597
933.75128,22683
934.03845,22764
934.32562,23036
934.61279,23040
934.8999,23168
935.18707,23507
935.47424,23571
935.76141,23845
936.04852,23882
936.33569,24136
936.62286,24266
936.90997,24636
937.19714,24677
937.48425,24780
937.77142,24998
938.05853,25172
938.34564,25523
938.63281,25519
938.91992,25825
939.20703,25899
939.49414,26213
939.78131,26336
940.06842,26465
940.35553,26632
940.64264,26837
940.92975,26853
941.21686,27271
941.50391,27510
941.79102,27502
942.07813,27851
942.36523,28093
942.65234,28060
942.93939,28129
943.2265,28681
943.51355,28647
943.80066,28947
944.08771,29172
944.37482,29197
944.66187,29736
944.94897,29774
945.23602,30053
945.52307,30280
945.81012,30428
946.09723,30533
946.38428,30822
946.67133,31205
946.95837,31330
947.24542,31395
947.53247,31789
947.81952,31928
948.10657,32213
948.39362,32403
948.6806,32503
948.96765,32463
949.2547,32889
949.54169,32962
949.82874,33269
950.11578,33212
950.40277,33533
950.68982,33518
950.97681,33742
951.26379,33699
951.55084,33971
951.83783,34110
952.12482,34292
952.41187,34242
952.69885,34351
952.98584,34626
953.27283,34756
953.55981,34781
953.8468,34816
954.13379,34956
954.42078,34976
954.70776,34924
954.99475,35154
955.28168,34976
955.56866,35124
955.85565,35313
956.14258,35114
956.42957,34933
956.71655,35013
957.00348,35149
957.29047,34912
957.57739,34881
957.86432,34611
958.15131,34356
958.43823,34301
958.72516,34359
959.01208,34384
959.29907,34231
959.586,34162
959.87292,34046
960.15985,33891
960.44678,33969
960.7337,34226
961.02063,34325
961.3075,34728
961.59442,35172
961.88135,35321
962.16827,35674
962.45514,35844
962.74207,36297
963.02893,36578
963.31586,36620
963.60272,36658
963.88965,36767
964.17651,36643
964.46344,36632
964.75031,36409
965.03717,36009
965.32404,35850
965.6109,35549
965.89783,35172
966.18469,34726
966.47156,34225
966.75842,33818
967.04529,33276
967.33209,32632
967.61896,32245
967.90582,31693
968.19269,31331
968.47955,30821
968.76636,30255
969.05322,29532
969.34003,29001
969.62689,28744
969.9137,28312
970.20056,27572
970.48737,27286
970.77423,26643
971.06104,26063
971.34784,25714
971.63464,25344
971.92145,24770
972.20825,24425
972.49512,23787
972.78192,23545
973.06873,23173
973.35547,22617
973.64227,22426
973.92908,21856
974.21588,21501
974.50269,21341
974.78943,20861
975.07623,20390
975.36304,20118
975.64978,19837
975.93658,19525
976.22333,19275
976.51007,18991
976.79688,18853
977.08362,18526
977.37036,18408
977.65717,18197
977.94391,18098
978.23065,18091
978.5174,17822
978.80414,17795
979.09088,17663
979.37762,17576
979.66437,17504
979.95111,17391
980.23779,17317
980.52454,17305
980.81128,17145
981.09802,17246
981.3847,17074
981.67145,17139
981.95813,16976
982.24487,17135
982.53156,17140
982.8183,17124
983.10498,17242
983.39166,17236
983.67834,17476
983.96509,17423
984.25177,17422
984.53845,17504
984.82513,17541
985.11182,17409
985.3985,17539
985.68518,17421
985.9718,17560
986.25848,17658
986.54517,17680
986.83185,17801
987.11847,17917
987.40515,18277
987.69183,18206
987.97845,18542
988.26514,18822
988.55176,19109
988.83838,19373
989.12506,19663
989.41168,19982
989.6983,20074
989.98492,20552
990.27161,20834
990.55823,21043
990.84485,21259
991.13147,21488
991.41809,21799
991.70465,21926
991.99127,22225
992.27789,22466
992.56451,22846
992.85114,23055
993.1377,23285
993.42432,23591
993.71088,23822
993.9975,24169
994.28406,24342
994.57068,24582
994.85724,24918
995.1438,25173
995.43042,25459
995.71698,25613
996.00354,25883
996.2901,26222
996.57666,26342
996.86322,26577
997.14978,26791
997.43634,27037
997.7229,27026
998.00946,27405
998.29602,27431
998.58252,27554
998.86908,27788
999.15564,27926
999.44214,28033
999.7287,28329
1000.0152,28417
1000.3018,28516
1000.5883,28685
1000.8748,28694
1001.1613,28904
1001.4478,28947
1001.7343,29000
1002.0208,28980
1002.3073,29181
1002.5938,29458
1002.8803,29458
1003.1668,29486
1003.4533,29535
1003.7398,29797
1004.0263,29813
1004.3127,29909
1004.5992,30063
1004.8857,29979
1005.1722,30201
1005.4587,30378
1005.7451,30427
1006.0316,30563
1006.3181,30542
1006.6046,30815
1006.891,30819
1007.1774,30950
1007.4639,31159
1007.7503,31093
1008.0368,31521
1008.3232,31526
1008.6097,31728
1008.8961,31573
1009.1825,31746
1009.4689,32206
1009.7554,32023
1010.0418,32126
1010.3282,32345
1010.6146,32224
1010.9011,32350
1011.1874,32383
1011.4739,32359
1011.7603,32313
1012.0467,32293
1012.3331,32372
1012.6194,32392
1012.9059,32245
1013.1923,32174
1013.4786,32083
1013.765,31911
1014.0514,31874
1014.3378,31768
1014.6241,31560
1014.9105,31664
1015.1969,31469
1015.4832,31257
1015.7696,31064
1016.056,31105
1016.3423,31048
1016.6287,30920
1016.915,30455
1017.2014,30460
1017.4877,30402
1017.774,30168
1018.0604,29832
1018.3467,29899
1018.6331,29764
1018.9194,29601
1019.2057,29828
1019.492,29801
1019.7783,29730
1020.0646,29767
1020.351,29677
1020.6373,29375
1020.9236,29221
1021.2098,28740
1021.4962,28276
1021.7825,27947
1022.0687,27102
1022.355,26475
1022.6414,25877
1022.9276,25098
1023.2139,24293
1023.5002,23606
1023.7864,23137
1024.0728,22536
1024.359,21931
1024.6453,21699
1024.9315,21571
1025.2178,21787
1025.504,22335
1025.7903,22916
1026.0765,23998
1026.3628,25755
